entidad,fna,gna,nam,fdc,sag,longitud,latitud
,,,,,,-65.57454419,-27.3074743
,,,,,,-65.6599068,-27.22737496
,,,,,,-64.98742281,-27.16457596
,,,,,,-64.98005604,-27.06950239
,,,,,,-64.92614723,-27.05107905
,,,,,,-64.98163798,-27.00731509
,,,,,,-64.91586082,-27.05535174
,,,,,,-64.88280626,-27.03002876
,,,,,,-64.80726893,-27.13957088
,,,,,,-64.77988255,-27.00735759
,,,,,,-64.90062837,-27.09629859
,,,,,,-64.92780616,-27.11849588
,,,,,,-64.91696949,-27.15682332
,,,,,,-64.99392475,-27.3039663
,,,,,,-64.94829534,-27.29419586
,,,,,,-64.88395755,-27.30735371
,,,,,,-64.83705252,-27.24175426
,,,,,,-64.9379537,-27.22294318
,,,,,,-64.92255068,-27.20261217
,,,,,,-65.03451335,-27.64133999
,,,,,,-65.08896674,-27.65647351
,,,,,,-65.1404106,-27.6249062
,,,,,,-65.17862634,-27.66580135
,,,,,,-65.24679712,-27.65002652
,,,,,,-65.24650632,-27.65027945
,,,,,,-65.25219436,-27.6449721
,,,,,,-65.1191189,-27.59415082
,,,,,,-65.2134544,-27.57105274
,,,,,,-65.22765414,-27.52346775
,,,,,,-65.18121803,-27.54651143
,,,,,,-65.1612165,-27.54515399
,,,,,,-65.17283655,-27.51480311
,,,,,,-65.28302635,-27.51106342
,,,,,,-65.19185329,-27.45245812
,,,,,,-65.15433495,-27.44711862
,,,,,,-65.23439497,-27.46124224
,,,,,,-65.31844502,-27.33862465
,,,,,,-65.24611083,-27.43117162
,,,,,,-65.1634781,-27.43344696
,,,,,,-65.17386717,-27.3954075
,,,,,,-65.26741504,-27.35763766
,,,,,,-65.21530803,-27.37075819
,,,,,,-65.36844883,-27.34030329
,,,,,,-65.40307528,-27.34267566
,,,,,,-65.45816581,-27.38878332
,,,,,,-65.45777481,-27.38889118
,,,,,,-65.42691131,-27.37166448
,,,,,,-65.34185536,-27.39781392
,,,,,,-65.34130847,-27.3977188
