"Código de radio.","Total de hogares","Hogares con al menos un indicador NBI","Hogares con computadora","Hogares con una o más personas de servicio doméstico sin retiro (con cama)","Hogares con hacinamiento (>= 3 personas por cuarto)","Hogares sin heladeras","Hogares sin sistema de botón, cadena o mochila para limpieza del inodoro.","Hogares sin agua para beber y cocinar proveniente de red pública","Hogares sin cañería de agua en la vivienda","Hogares sin cloaca","Hogares con desagüe a hoyo o pozo ciego sin cámara","Hogares sin cobertura de techo tipo 1 (Membrana, baldosa, losa o teja)","Hogares sin piso tipo 1 (cerámica, baldosa, mosaico, mármol, madera, alfombrado)","Hogares con teléfono celular","Hogares con teléfono fijo","Hogares con garrafa o leña como combustible usado principalmente para cocinar","Hogares propietarios de la vivienda","Hogares inquilinos de la vivienda","Hogares ni propietarios ni inquilinos","Hogares con jefatura femenina","Hogares con jefe nacido en país limítrofe + Perú","Hogares con jefes con primaria completa o secundaria incompleto","Hogares con jefes con secundaria completa o superior incompleto","Hogares con jefes con secundaria completa o más","Hogares con jefes con terciaria completa","Hogares con jefes con universitaria completa","Hogares con cónyugues con secundaria completa o más","Código de provincia","Nombre de provincia","Código de departamentos/comuna","Nombre de departamentos/comuna","Código de radio","Población total","Total de hogares","Latitud del centroide","Longitud del centroide","Superficie en km2","Geometría en WKT"
"066230701",180,3,78,1,1,5,0,7,0,175,61,67,19,151,119,88,146,17,17,42,0,129,32,43,3,8,48,"06","Buenos Aires","06623","Pergamino","066230701",521,180,-33.66061,-60.705748,0.40643757297363,"POLYGON((-60.706403 -33.656542,-60.701191 -33.660866,-60.701509 -33.661148,-60.702615 -33.662176,-60.703244 -33.662843,-60.702771 -33.663326,-60.702429 -33.663611,-60.704014 -33.665064,-60.710099 -33.660359,-60.710670 -33.659930,-60.708957 -33.658331,-60.707469 -33.657018,-60.707146 -33.657208,-60.706403 -33.656542))"
"066230702",219,9,78,0,1,10,3,2,3,213,80,82,43,179,127,141,177,23,19,69,1,158,41,53,10,2,43,"06","Buenos Aires","06623","Pergamino","066230702",623,219,-33.66431,-60.70951,0.47353704297196,"POLYGON((-60.704418 -33.665434,-60.707371 -33.668140,-60.708593 -33.667240,-60.709500 -33.668005,-60.714458 -33.664259,-60.714874 -33.663851,-60.710670 -33.659930,-60.710099 -33.660359,-60.704014 -33.665064,-60.704418 -33.665434))"
"066231001",7,0,1,0,0,2,2,7,2,7,4,5,3,6,0,5,2,0,5,2,0,7,0,0,0,0,0,"06","Buenos Aires","06623","Pergamino","066231001",16,7,-33.674465,-60.278931,27.761608526359,"POLYGON((-60.230995 -33.696844,-60.230907 -33.698473,-60.290795 -33.687655,-60.290841 -33.687076,-60.312021 -33.683813,-60.312205 -33.683507,-60.326268 -33.680889,-60.327083 -33.677309,-60.325968 -33.674302,-60.325887 -33.673196,-60.325088 -33.671400,-60.323137 -33.668516,-60.319804 -33.665150,-60.317327 -33.660010,-60.314626 -33.655435,-60.313162 -33.653568,-60.312296 -33.651283,-60.312167 -33.651119,-60.308851 -33.651961,-60.305145 -33.652608,-60.301433 -33.653251,-60.297721 -33.653898,-60.294015 -33.654536,-60.239126 -33.664670,-60.239452 -33.665355,-60.240620 -33.667192,-60.240888 -33.672405,-60.241506 -33.673775,-60.241281 -33.676455,-60.239596 -33.679327,-60.238871 -33.681826,-60.238012 -33.685183,-60.236410 -33.687357,-60.235050 -33.688464,-60.232575 -33.688694,-60.231345 -33.690418,-60.231029 -33.691645,-60.230343 -33.692450,-60.230438 -33.694438,-60.230995 -33.696844))"
"066231101",21,1,2,0,0,2,0,21,0,20,13,17,4,21,3,17,15,0,6,4,0,20,1,1,0,0,0,"06","Buenos Aires","06623","Pergamino","066231101",56,21,-33.689858,-60.19384,51.811725899595,"POLYGON((-60.138340 -33.712060,-60.146267 -33.727230,-60.174381 -33.722099,-60.191789 -33.719089,-60.208256 -33.716234,-60.224869 -33.713217,-60.226705 -33.708561,-60.229980 -33.706281,-60.229997 -33.704500,-60.231089 -33.701618,-60.230607 -33.700511,-60.230907 -33.698473,-60.230995 -33.696844,-60.230438 -33.694438,-60.230343 -33.692450,-60.231029 -33.691645,-60.231345 -33.690418,-60.232575 -33.688694,-60.235050 -33.688464,-60.236410 -33.687357,-60.238012 -33.685183,-60.238871 -33.681826,-60.239596 -33.679327,-60.241281 -33.676455,-60.241506 -33.673775,-60.240888 -33.672405,-60.240620 -33.667192,-60.239452 -33.665355,-60.239126 -33.664670,-60.239597 -33.661497,-60.240840 -33.658712,-60.241264 -33.656559,-60.241862 -33.652641,-60.241355 -33.650638,-60.242294 -33.648832,-60.188160 -33.658767,-60.183894 -33.659555,-60.173844 -33.661595,-60.171902 -33.661822,-60.174827 -33.673860,-60.173315 -33.675489,-60.159244 -33.690600,-60.151289 -33.692036,-60.140840 -33.693973,-60.138340 -33.712060))"
"066231701",19,1,4,0,0,3,1,19,1,18,14,12,6,19,2,14,9,1,9,4,1,15,3,4,1,0,2,"06","Buenos Aires","06623","Pergamino","066231701",59,19,-33.720023,-60.813537,52.147419712295,"POLYGON((-60.806382 -33.755747,-60.819513 -33.766067,-60.831727 -33.755580,-60.831911 -33.755430,-60.863621 -33.729127,-60.858024 -33.724631,-60.864323 -33.719078,-60.864149 -33.718936,-60.844068 -33.702061,-60.811050 -33.674872,-60.800419 -33.681895,-60.757609 -33.716113,-60.806307 -33.755690,-60.806382 -33.755747))"
"066231403",25,0,7,0,0,1,0,25,0,25,8,22,8,24,7,16,6,0,19,1,0,21,3,3,0,0,3,"06","Buenos Aires","06623","Pergamino","066231403",75,25,-33.745566,-60.48241,83.834288235583,"POLYGON((-60.423538 -33.720419,-60.437856 -33.744888,-60.438762 -33.744544,-60.442617 -33.751349,-60.443331 -33.751183,-60.444250 -33.753019,-60.444961 -33.752742,-60.445972 -33.752468,-60.446258 -33.753039,-60.445397 -33.753463,-60.446448 -33.755299,-60.445741 -33.755589,-60.444830 -33.755931,-60.446924 -33.760510,-60.446097 -33.761198,-60.466845 -33.797947,-60.497204 -33.797550,-60.517033 -33.798903,-60.514420 -33.793832,-60.532657 -33.793398,-60.533462 -33.793460,-60.531991 -33.753958,-60.537858 -33.753908,-60.537853 -33.753871,-60.537683 -33.751870,-60.538215 -33.745549,-60.539203 -33.741268,-60.539936 -33.739577,-60.539755 -33.735344,-60.538832 -33.733080,-60.538708 -33.731220,-60.538290 -33.727080,-60.518179 -33.727437,-60.501737 -33.727698,-60.489423 -33.728327,-60.487652 -33.724958,-60.486018 -33.722397,-60.483450 -33.719199,-60.483729 -33.717065,-60.483609 -33.715156,-60.482945 -33.711923,-60.481715 -33.709933,-60.480946 -33.707707,-60.479430 -33.706739,-60.478671 -33.705823,-60.478482 -33.704690,-60.478238 -33.701745,-60.479047 -33.700917,-60.479733 -33.698878,-60.479199 -33.696793,-60.478662 -33.694461,-60.477921 -33.691997,-60.476026 -33.689906,-60.475837 -33.687868,-60.475932 -33.683489,-60.474931 -33.680879,-60.474746 -33.678405,-60.474207 -33.675933,-60.473610 -33.673085,-60.472626 -33.670381,-60.471378 -33.668274,-60.438855 -33.693025,-60.448259 -33.702120,-60.423538 -33.720419))"
"066230902",170,5,91,1,1,0,2,3,2,166,34,76,23,147,132,43,135,27,8,44,0,115,38,52,8,6,43,"06","Buenos Aires","06623","Pergamino","066230902",488,170,-33.671109,-60.400244,0.5069434411529,"POLYGON((-60.400290 -33.677487,-60.400523 -33.677916,-60.404071 -33.676372,-60.404956 -33.675946,-60.400296 -33.667264,-60.400911 -33.667047,-60.399055 -33.664762,-60.398034 -33.665096,-60.395433 -33.666310,-60.401102 -33.676184,-60.400227 -33.676683,-60.400151 -33.676805,-60.400142 -33.676832,-60.400050 -33.676954,-60.400290 -33.677487))"
"066230903",95,3,35,1,1,4,7,2,7,95,43,58,28,77,63,44,62,11,22,34,0,73,15,18,3,0,14,"06","Buenos Aires","06623","Pergamino","066230903",286,95,-33.675394,-60.397425,0.451460686694,"POLYGON((-60.394453 -33.681360,-60.395657 -33.680903,-60.397013 -33.680411,-60.398041 -33.680044,-60.400247 -33.679055,-60.400453 -33.678992,-60.401049 -33.678763,-60.400523 -33.677916,-60.400290 -33.677487,-60.400050 -33.676954,-60.400142 -33.676832,-60.400151 -33.676805,-60.400227 -33.676683,-60.401102 -33.676184,-60.395433 -33.666310,-60.394768 -33.666621,-60.395823 -33.668968,-60.394790 -33.669389,-60.396022 -33.672118,-60.396931 -33.673860,-60.397278 -33.674605,-60.397740 -33.675566,-60.397932 -33.675976,-60.397560 -33.676265,-60.396695 -33.676909,-60.395515 -33.677805,-60.393462 -33.679328,-60.394453 -33.681360))"
"066231002",15,0,4,0,0,1,1,15,1,15,7,11,3,14,3,10,6,1,8,2,1,11,4,4,0,0,3,"06","Buenos Aires","06623","Pergamino","066231002",42,15,-33.713621,-60.276595,46.956437294052,"POLYGON((-60.249581 -33.754079,-60.249973 -33.754556,-60.265922 -33.751850,-60.264016 -33.744431,-60.284149 -33.740892,-60.282364 -33.733677,-60.306214 -33.729627,-60.302340 -33.715320,-60.342455 -33.708311,-60.341258 -33.705345,-60.341110 -33.705140,-60.339759 -33.703215,-60.336190 -33.699244,-60.333011 -33.696844,-60.331398 -33.696617,-60.330786 -33.693484,-60.328914 -33.690730,-60.327537 -33.687157,-60.325979 -33.685776,-60.325971 -33.683517,-60.325773 -33.682725,-60.325907 -33.682173,-60.326038 -33.681693,-60.326064 -33.681330,-60.326268 -33.680889,-60.312205 -33.683507,-60.312021 -33.683813,-60.290841 -33.687076,-60.290795 -33.687655,-60.230907 -33.698473,-60.230607 -33.700511,-60.231089 -33.701618,-60.229997 -33.704500,-60.229980 -33.706281,-60.226705 -33.708561,-60.224869 -33.713217,-60.223389 -33.714524,-60.222530 -33.716527,-60.223019 -33.718147,-60.224801 -33.718550,-60.226429 -33.719998,-60.227043 -33.721566,-60.228852 -33.722843,-60.232054 -33.725117,-60.232730 -33.725796,-60.233034 -33.729050,-60.234326 -33.729767,-60.234509 -33.731778,-60.236218 -33.732753,-60.236746 -33.734668,-60.238902 -33.737981,-60.241354 -33.740836,-60.242002 -33.743345,-60.243059 -33.744326,-60.242949 -33.745895,-60.244422 -33.747332,-60.246482 -33.749223,-60.247443 -33.751441,-60.249189 -33.753602,-60.249581 -33.754079))"
"066230801",58,0,25,0,0,1,1,58,1,58,30,46,15,46,30,38,48,1,9,15,0,52,4,5,1,0,6,"06","Buenos Aires","06623","Pergamino","066230801",168,58,-33.708746,-60.584804,0.74613977651871,"POLYGON((-60.580941 -33.704354,-60.580888 -33.705665,-60.580853 -33.706694,-60.580791 -33.707848,-60.580765 -33.708891,-60.580717 -33.709964,-60.580714 -33.710131,-60.580680 -33.710926,-60.580659 -33.711988,-60.579299 -33.711944,-60.579288 -33.712219,-60.579381 -33.712664,-60.580649 -33.712702,-60.580649 -33.713512,-60.585490 -33.713680,-60.585747 -33.713681,-60.585844 -33.711291,-60.586644 -33.711305,-60.587243 -33.711322,-60.590208 -33.711237,-60.590288 -33.709697,-60.589243 -33.709750,-60.589525 -33.704411,-60.587471 -33.704492,-60.587375 -33.704564,-60.587320 -33.704580,-60.587159 -33.704582,-60.586101 -33.704540,-60.586027 -33.704559,-60.585962 -33.704601,-60.580941 -33.704354))"
"066231703",12,0,1,0,0,0,0,12,0,12,9,4,0,12,0,5,2,1,9,0,0,7,3,4,0,1,0,"06","Buenos Aires","06623","Pergamino","066231703",29,12,-33.794377,-60.867734,62.94062464037,"POLYGON((-60.826648 -33.809408,-60.884515 -33.862877,-60.920184 -33.835455,-60.900178 -33.816412,-60.879391 -33.797360,-60.874645 -33.793139,-60.860859 -33.781059,-60.875177 -33.769473,-60.897020 -33.752430,-60.900604 -33.749419,-60.864323 -33.719078,-60.858024 -33.724631,-60.863621 -33.729127,-60.831911 -33.755430,-60.831727 -33.755580,-60.819513 -33.766067,-60.849654 -33.790565,-60.845407 -33.794010,-60.843364 -33.796341,-60.826648 -33.809408))"
"066231702",6,1,0,0,0,2,0,6,0,5,4,3,2,6,0,2,1,0,5,0,0,6,0,0,0,0,1,"06","Buenos Aires","06623","Pergamino","066231702",16,6,-33.786298,-60.783437,81.434490306708,"POLYGON((-60.765961 -33.833814,-60.790047 -33.856218,-60.791224 -33.850345,-60.791925 -33.843039,-60.799118 -33.830602,-60.817148 -33.821619,-60.821396 -33.813444,-60.826648 -33.809408,-60.843364 -33.796341,-60.845407 -33.794010,-60.849654 -33.790565,-60.819513 -33.766067,-60.806307 -33.755690,-60.757609 -33.716113,-60.757412 -33.716298,-60.752468 -33.726286,-60.748318 -33.735092,-60.746668 -33.741872,-60.746309 -33.743864,-60.744747 -33.752447,-60.744622 -33.759768,-60.739050 -33.792168,-60.738488 -33.797243,-60.737507 -33.799929,-60.745710 -33.807512,-60.742144 -33.810406,-60.741847 -33.810952,-60.741903 -33.811436,-60.765961 -33.833814))"
"066231404",65,0,26,0,0,1,1,25,1,65,22,33,6,62,14,24,44,3,18,7,0,52,9,12,2,1,16,"06","Buenos Aires","06623","Pergamino","066231404",192,65,-33.773303,-60.406365,73.415483640486,"POLYGON((-60.418311 -33.711390,-60.387468 -33.734160,-60.385654 -33.732417,-60.385306 -33.730988,-60.360773 -33.748715,-60.361399 -33.749486,-60.362398 -33.751412,-60.363396 -33.752457,-60.363141 -33.754416,-60.364193 -33.756034,-60.363990 -33.757560,-60.364625 -33.759303,-60.364056 -33.760699,-60.362966 -33.763146,-60.362821 -33.765767,-60.362102 -33.767817,-60.361236 -33.774104,-60.360938 -33.777856,-60.362216 -33.782522,-60.362910 -33.786707,-60.363712 -33.790370,-60.364403 -33.794123,-60.365857 -33.797798,-60.366684 -33.800747,-60.367466 -33.802210,-60.368455 -33.803366,-60.368349 -33.804819,-60.369519 -33.807140,-60.369637 -33.808347,-60.371501 -33.809548,-60.374120 -33.812350,-60.374820 -33.814042,-60.376744 -33.816020,-60.377473 -33.819662,-60.378418 -33.822963,-60.379611 -33.826307,-60.380333 -33.828684,-60.382202 -33.831145,-60.413284 -33.808138,-60.416063 -33.810856,-60.416066 -33.811508,-60.421333 -33.816220,-60.449370 -33.794343,-60.463925 -33.807314,-60.469659 -33.803073,-60.466845 -33.797947,-60.446097 -33.761198,-60.443950 -33.762985,-60.442974 -33.761581,-60.442284 -33.760938,-60.438762 -33.758202,-60.438168 -33.758273,-60.436823 -33.756878,-60.435265 -33.756180,-60.435122 -33.755965,-60.435907 -33.755418,-60.432005 -33.751968,-60.436029 -33.748976,-60.436288 -33.749461,-60.437242 -33.749086,-60.438372 -33.748691,-60.438348 -33.748348,-60.438418 -33.748145,-60.438503 -33.747914,-60.438529 -33.747722,-60.438507 -33.747514,-60.438425 -33.747285,-60.438293 -33.747036,-60.437199 -33.745138,-60.437856 -33.744888,-60.423538 -33.720419,-60.418311 -33.711390))"
"066231003",6,0,1,0,0,0,0,6,0,6,6,5,4,6,1,3,1,0,5,0,0,6,0,0,0,0,1,"06","Buenos Aires","06623","Pergamino","066231003",17,6,-33.740394,-60.311278,33.690167365541,"POLYGON((-60.257349 -33.767318,-60.257833 -33.767813,-60.361350 -33.749497,-60.361399 -33.749486,-60.360773 -33.748715,-60.357683 -33.746242,-60.355365 -33.742820,-60.353910 -33.739514,-60.353103 -33.736026,-60.352728 -33.732476,-60.351635 -33.729349,-60.351347 -33.727877,-60.350894 -33.724779,-60.349815 -33.723456,-60.347636 -33.719491,-60.345968 -33.716490,-60.344522 -33.714988,-60.343742 -33.713459,-60.342455 -33.708311,-60.302340 -33.715320,-60.306214 -33.729627,-60.282364 -33.733677,-60.284149 -33.740892,-60.264016 -33.744431,-60.265922 -33.751850,-60.249973 -33.754556,-60.251279 -33.756007,-60.251678 -33.758015,-60.252161 -33.758527,-60.252516 -33.760060,-60.253132 -33.760750,-60.255014 -33.761770,-60.255146 -33.762613,-60.254711 -33.763119,-60.255284 -33.763928,-60.255985 -33.765531,-60.257349 -33.767318))"
"066231604",22,2,6,0,0,0,0,19,0,16,7,14,5,21,4,17,4,1,17,1,0,19,1,1,0,0,1,"06","Buenos Aires","06623","Pergamino","066231604",49,22,-33.77121,-60.592589,104.473596692,"POLYGON((-60.638820 -33.723011,-60.624629 -33.723481,-60.624627 -33.723463,-60.624585 -33.723461,-60.614655 -33.723648,-60.593344 -33.724038,-60.537566 -33.724280,-60.537788 -33.725568,-60.538290 -33.727080,-60.538708 -33.731220,-60.538832 -33.733080,-60.539755 -33.735344,-60.539936 -33.739577,-60.539203 -33.741268,-60.538215 -33.745549,-60.537683 -33.751870,-60.537853 -33.753871,-60.537858 -33.753908,-60.531991 -33.753958,-60.533462 -33.793460,-60.533421 -33.799043,-60.576766 -33.798109,-60.577610 -33.821011,-60.578041 -33.832006,-60.595449 -33.847760,-60.604853 -33.856186,-60.612458 -33.836723,-60.628198 -33.797135,-60.636919 -33.781287,-60.642810 -33.770326,-60.643420 -33.769234,-60.644011 -33.768147,-60.644502 -33.767283,-60.645102 -33.766237,-60.645669 -33.765258,-60.645827 -33.764970,-60.644095 -33.764210,-60.644947 -33.762665,-60.646253 -33.760090,-60.648238 -33.760755,-60.648574 -33.760156,-60.649118 -33.759226,-60.649685 -33.758230,-60.650349 -33.757072,-60.662856 -33.734244,-60.638820 -33.723011))"
"066231102",29,1,8,0,0,0,2,18,2,27,18,24,8,26,14,23,11,0,18,5,0,20,3,6,2,1,5,"06","Buenos Aires","06623","Pergamino","066231102",88,29,-33.741014,-60.19703,35.627423243122,"POLYGON((-60.146267 -33.727230,-60.154339 -33.742680,-60.155893 -33.745845,-60.167344 -33.768122,-60.249189 -33.753602,-60.247443 -33.751441,-60.246482 -33.749223,-60.244422 -33.747332,-60.242949 -33.745895,-60.243059 -33.744326,-60.242002 -33.743345,-60.241354 -33.740836,-60.238902 -33.737981,-60.236746 -33.734668,-60.236218 -33.732753,-60.234509 -33.731778,-60.234326 -33.729767,-60.233034 -33.729050,-60.232730 -33.725796,-60.232054 -33.725117,-60.228852 -33.722843,-60.227043 -33.721566,-60.226429 -33.719998,-60.224801 -33.718550,-60.223019 -33.718147,-60.222530 -33.716527,-60.223389 -33.714524,-60.224869 -33.713217,-60.208256 -33.716234,-60.191789 -33.719089,-60.174381 -33.722099,-60.146267 -33.727230),(-60.167245 -33.738470,-60.167173 -33.738508,-60.162765 -33.732284,-60.176388 -33.729905,-60.178380 -33.732819,-60.177798 -33.733053,-60.175695 -33.734128,-60.173470 -33.735256,-60.172249 -33.735823,-60.171103 -33.736412,-60.170003 -33.736990,-60.168904 -33.737590,-60.167787 -33.738185,-60.167245 -33.738470))"
"066231603",15,1,4,0,1,0,1,15,1,15,12,10,4,14,4,14,8,3,4,3,1,9,5,5,0,0,3,"06","Buenos Aires","06623","Pergamino","066231603",42,15,-33.766742,-60.664868,16.421670198697,"POLYGON((-60.650349 -33.757072,-60.651690 -33.757609,-60.652763 -33.758137,-60.654087 -33.758643,-60.655160 -33.758941,-60.655575 -33.758111,-60.656127 -33.757109,-60.659483 -33.758376,-60.662882 -33.759641,-60.664515 -33.760202,-60.663362 -33.762221,-60.662250 -33.764147,-60.659464 -33.768935,-60.660745 -33.769414,-60.658903 -33.772689,-60.657691 -33.774801,-60.657079 -33.775936,-60.652112 -33.773960,-60.651016 -33.773531,-60.646378 -33.771698,-60.644086 -33.770764,-60.642810 -33.770326,-60.636919 -33.781287,-60.661181 -33.802643,-60.661208 -33.802600,-60.673312 -33.780488,-60.691461 -33.747325,-60.662856 -33.734244,-60.650349 -33.757072))"
"066231602",15,0,4,1,0,1,1,14,1,15,5,10,4,14,6,6,6,1,8,2,0,7,4,7,0,3,3,"06","Buenos Aires","06623","Pergamino","066231602",39,15,-33.801115,-60.681211,75.132443428689,"POLYGON((-60.691461 -33.747325,-60.673312 -33.780488,-60.661208 -33.802600,-60.661181 -33.802643,-60.636919 -33.781287,-60.628198 -33.797135,-60.612458 -33.836723,-60.604853 -33.856186,-60.614626 -33.865051,-60.640485 -33.844838,-60.662698 -33.827231,-60.676242 -33.815969,-60.693793 -33.831358,-60.695945 -33.833454,-60.738588 -33.808400,-60.741903 -33.811436,-60.741847 -33.810952,-60.742144 -33.810406,-60.745710 -33.807512,-60.737507 -33.799929,-60.738488 -33.797243,-60.739050 -33.792168,-60.744622 -33.759768,-60.733308 -33.750000,-60.726422 -33.755795,-60.718692 -33.749635,-60.710601 -33.756088,-60.691461 -33.747325))"
"066231103",159,6,51,0,2,5,8,3,8,153,76,100,26,127,111,102,130,13,16,42,0,144,10,10,0,0,13,"06","Buenos Aires","06623","Pergamino","066231103",466,159,-33.731887,-60.173443,0.23032569191323,"POLYGON((-60.168543 -33.731670,-60.170349 -33.734126,-60.170909 -33.733839,-60.173102 -33.732701,-60.174228 -33.732138,-60.174752 -33.731808,-60.176235 -33.733852,-60.177798 -33.733053,-60.178380 -33.732819,-60.176388 -33.729905,-60.168285 -33.731320,-60.168543 -33.731670))"
"066231104",179,6,65,0,4,6,15,3,15,179,123,145,46,144,127,129,138,20,21,54,2,154,17,19,0,2,25,"06","Buenos Aires","06623","Pergamino","066231104",543,179,-33.73443,-60.168929,0.47848408918166,"POLYGON((-60.163008 -33.732627,-60.167173 -33.738508,-60.167787 -33.738185,-60.168904 -33.737590,-60.170003 -33.736990,-60.171103 -33.736412,-60.172249 -33.735823,-60.173470 -33.735256,-60.176235 -33.733852,-60.174752 -33.731808,-60.174228 -33.732138,-60.173102 -33.732701,-60.170909 -33.733839,-60.170349 -33.734126,-60.168285 -33.731320,-60.162765 -33.732284,-60.163008 -33.732627))"
"066231401",277,2,119,0,1,1,3,2,3,273,86,146,23,224,205,51,226,30,21,92,1,198,56,73,13,4,72,"06","Buenos Aires","06623","Pergamino","066231401",718,277,-33.751594,-60.437891,0.62125969044546,"POLYGON((-60.437242 -33.749086,-60.436288 -33.749461,-60.436029 -33.748976,-60.432005 -33.751968,-60.435907 -33.755418,-60.435122 -33.755965,-60.435265 -33.756180,-60.436823 -33.756878,-60.437257 -33.757329,-60.438049 -33.756989,-60.437437 -33.755799,-60.438424 -33.755412,-60.439442 -33.755039,-60.440437 -33.754679,-60.441402 -33.754304,-60.442427 -33.754014,-60.441241 -33.751861,-60.441610 -33.751718,-60.442617 -33.751349,-60.438762 -33.744544,-60.437199 -33.745138,-60.438293 -33.747036,-60.438425 -33.747285,-60.438507 -33.747514,-60.438529 -33.747722,-60.438503 -33.747914,-60.438418 -33.748145,-60.438348 -33.748348,-60.438372 -33.748691,-60.437242 -33.749086))"
"066231601",129,13,43,0,7,6,22,16,22,126,82,90,51,101,79,121,83,17,29,41,1,105,14,17,1,2,8,"06","Buenos Aires","06623","Pergamino","066231601",412,129,-33.766676,-60.656078,1.6794289408569,"POLYGON((-60.648395 -33.770693,-60.648177 -33.771065,-60.647026 -33.770621,-60.646378 -33.771698,-60.651016 -33.773531,-60.652112 -33.773960,-60.657079 -33.775936,-60.657691 -33.774801,-60.658903 -33.772689,-60.660745 -33.769414,-60.659464 -33.768935,-60.662250 -33.764147,-60.663362 -33.762221,-60.664515 -33.760202,-60.662882 -33.759641,-60.659483 -33.758376,-60.656127 -33.757109,-60.655575 -33.758111,-60.655160 -33.758941,-60.654580 -33.760021,-60.654073 -33.760922,-60.653525 -33.761872,-60.652959 -33.762876,-60.652397 -33.763862,-60.651760 -33.764989,-60.651202 -33.765923,-60.650562 -33.767008,-60.649358 -33.769061,-60.648800 -33.770003,-60.648395 -33.770693))"
"066231605",230,6,103,0,4,5,7,6,7,224,79,94,28,184,178,147,179,28,23,67,1,185,31,38,3,4,42,"06","Buenos Aires","06623","Pergamino","066231605",666,230,-33.764266,-60.648699,0.87693035374317,"POLYGON((-60.648574 -33.760156,-60.648238 -33.760755,-60.646253 -33.760090,-60.644947 -33.762665,-60.644095 -33.764210,-60.645827 -33.764970,-60.645669 -33.765258,-60.645102 -33.766237,-60.644502 -33.767283,-60.644011 -33.768147,-60.643420 -33.769234,-60.642810 -33.770326,-60.644086 -33.770764,-60.646378 -33.771698,-60.647026 -33.770621,-60.648177 -33.771065,-60.648800 -33.770003,-60.649358 -33.769061,-60.650562 -33.767008,-60.651202 -33.765923,-60.651760 -33.764989,-60.652397 -33.763862,-60.652959 -33.762876,-60.653525 -33.761872,-60.654073 -33.760922,-60.654580 -33.760021,-60.655160 -33.758941,-60.654087 -33.758643,-60.652763 -33.758137,-60.651690 -33.757609,-60.650349 -33.757072,-60.649685 -33.758230,-60.649118 -33.759226,-60.648574 -33.760156))"
"066231402",258,11,99,0,7,13,31,4,31,253,107,149,58,205,146,119,197,23,38,71,0,202,40,49,6,3,53,"06","Buenos Aires","06623","Pergamino","066231402",781,258,-33.757088,-60.442749,0.58999389369506,"POLYGON((-60.441241 -33.751861,-60.442427 -33.754014,-60.441402 -33.754304,-60.440437 -33.754679,-60.439442 -33.755039,-60.438424 -33.755412,-60.437437 -33.755799,-60.438049 -33.756989,-60.437257 -33.757329,-60.438168 -33.758273,-60.438762 -33.758202,-60.442284 -33.760938,-60.442974 -33.761581,-60.443950 -33.762985,-60.446924 -33.760510,-60.444830 -33.755931,-60.445741 -33.755589,-60.446448 -33.755299,-60.445397 -33.753463,-60.446258 -33.753039,-60.445972 -33.752468,-60.444961 -33.752742,-60.444250 -33.753019,-60.443331 -33.751183,-60.442617 -33.751349,-60.441610 -33.751718,-60.441241 -33.751861))"
"066231301",3,0,1,0,0,0,0,3,0,3,0,1,0,3,1,1,2,0,1,0,0,3,0,0,0,0,1,"06","Buenos Aires","06623","Pergamino","066231301",7,3,-33.782145,-60.318023,48.042722122364,"POLYGON((-60.283180 -33.815641,-60.366684 -33.800747,-60.365857 -33.797798,-60.364403 -33.794123,-60.363712 -33.790370,-60.362910 -33.786707,-60.362216 -33.782522,-60.360938 -33.777856,-60.361236 -33.774104,-60.362102 -33.767817,-60.362821 -33.765767,-60.362966 -33.763146,-60.364056 -33.760699,-60.364625 -33.759303,-60.363990 -33.757560,-60.364193 -33.756034,-60.363141 -33.754416,-60.363396 -33.752457,-60.362398 -33.751412,-60.361399 -33.749486,-60.361350 -33.749497,-60.257833 -33.767813,-60.259423 -33.769341,-60.260644 -33.769573,-60.261298 -33.771790,-60.263650 -33.774568,-60.264763 -33.776887,-60.267285 -33.778976,-60.267504 -33.780061,-60.270477 -33.782940,-60.272629 -33.787188,-60.274287 -33.788624,-60.276188 -33.791178,-60.277749 -33.792816,-60.277826 -33.794494,-60.278149 -33.794932,-60.278921 -33.797901,-60.282660 -33.813462,-60.283180 -33.815641))"
"066231201",12,1,3,0,0,0,1,11,1,12,8,9,7,10,3,7,7,1,4,1,0,11,1,1,0,0,0,"06","Buenos Aires","06623","Pergamino","066231201",31,12,-33.783622,-60.221909,43.511305601037,"POLYGON((-60.190410 -33.813487,-60.194097 -33.812843,-60.278921 -33.797901,-60.278149 -33.794932,-60.277826 -33.794494,-60.277749 -33.792816,-60.276188 -33.791178,-60.274287 -33.788624,-60.272629 -33.787188,-60.270477 -33.782940,-60.267504 -33.780061,-60.267285 -33.778976,-60.264763 -33.776887,-60.263650 -33.774568,-60.261298 -33.771790,-60.260644 -33.769573,-60.259423 -33.769341,-60.257833 -33.767813,-60.257349 -33.767318,-60.255985 -33.765531,-60.255284 -33.763928,-60.254711 -33.763119,-60.255146 -33.762613,-60.255014 -33.761770,-60.253132 -33.760750,-60.252516 -33.760060,-60.252161 -33.758527,-60.251678 -33.758015,-60.251279 -33.756007,-60.249973 -33.754556,-60.249189 -33.753602,-60.167344 -33.768122,-60.190410 -33.813487))"
