"Código de radio.","Población total (en hogares familiares).","Población de 0 a 17 años.","Población de 0 a 3 años.","Población de 4 a 5 años.","Población de 6 a 12 años.","Población de 13 a 17 años.","Población de 18 años y más.","Población de 18 a 29 años.","Población de 30 a 54 años.","Población de 55 a 69 años.","Población de 70 años y más.","Total de mujeres (en hogares familiares).","Mujeres de 0 a 17 años.","Mujeres de 0 a 3 años.","Mujeres de 4 a 5 años.","Mujeres de 6 a 12 años.","Mujeres de 13 a 17 años.","Mujeres de 18 años y más.","Mujeres de 18 a 29 años.","Mujeres de 30 a 54 años.","Mujeres de 55 a 69 años.","Mujeres de 70 años y más.","Total de varones (en hogares familiares).","Varones de 0 a 17 años.","Varones de 0 a 3 años.","Varones de 4 a 5 años.","Varones de 6 a 12 años.","Varones de 13 a 17 años.","Varones de 18 años y más.","Varones de 18 a 29 años.","Varones de 30 a 54 años.","Varones de 55 a 69 años.","Varones de 70 años y más.","Población de 18 y más con primaria incompleta o menos","Población de 18 y más con primaria completa","Población de 18 y más con secundaria completa","Población de 18 y más con primaria completa sin secundario completo","Población de 18 y más con secundaria completa sin superior completo","Población de 18 y más con terciario completo","Población de 18 y más con universitario completo o más","Niños de 4 y 5 años que asisten a jardín","Población de 6 a 12 que asiste","Población de 13 a 17 sin secundaria completa que asiste","Población de 13 a 17 sin secundaria completa","Población de 18 a 29 sin secundaria completa que asiste","Población de 18 a 29 sin secundaria completa","Población de 14 a 25 años sin secundario completo o más que asiste","Población de 14 a 25 años sin secundario completo","Población de 14 a 25 años","Código de provincia","Nombre de provincia","Código de departamentos/comuna","Nombre de departamentos/comuna","Código de radio","Población total","Total de hogares","Latitud del centroide","Longitud del centroide","Superficie en km2","Geometría en WKT"
"066230302",1066,224,56,27,86,55,842,161,346,192,143,584,109,27,15,39,28,475,77,186,111,101,482,115,29,12,47,27,367,84,160,81,42,85,750,377,373,265,68,44,27,86,51,55,13,60,55,84,149,"06","Buenos Aires","06623","Pergamino","066230302",1127,383,-33.892615,-60.584385,0.16639681563418,"POLYGON((-60.582356 -33.895186,-60.582358 -33.895192,-60.583421 -33.894833,-60.585271 -33.894223,-60.584848 -33.893354,-60.586763 -33.892737,-60.587674 -33.892440,-60.587296 -33.891726,-60.586534 -33.890133,-60.585667 -33.890425,-60.584708 -33.890760,-60.583738 -33.891087,-60.582805 -33.891415,-60.583195 -33.892189,-60.582262 -33.892480,-60.581227 -33.892834,-60.581626 -33.893633,-60.581950 -33.894328,-60.582356 -33.895186))"
"066230204",728,136,32,15,54,35,592,111,240,119,122,427,68,19,8,31,10,359,65,136,73,85,301,68,13,7,23,25,233,46,104,46,37,24,565,392,173,226,67,99,14,54,34,35,6,22,35,50,104,"06","Buenos Aires","06623","Pergamino","066230204",755,313,-33.891703,-60.570969,0.11612283621601,"POLYGON((-60.569018 -33.891101,-60.569720 -33.892617,-60.569717 -33.892674,-60.570180 -33.893764,-60.573557 -33.892649,-60.573506 -33.892524,-60.573465 -33.892440,-60.572751 -33.890783,-60.571551 -33.891150,-60.571161 -33.890326,-60.570772 -33.889530,-60.568624 -33.890248,-60.569018 -33.891101))"
"066230304",436,63,17,12,19,15,373,45,128,84,116,276,34,11,6,11,6,242,30,76,58,78,160,29,6,6,8,9,131,15,52,26,38,17,354,249,105,132,64,53,12,19,15,15,4,9,15,18,36,"06","Buenos Aires","06623","Pergamino","066230304",467,215,-33.891996,-60.576965,0.066802856091568,"POLYGON((-60.574111 -33.892462,-60.573589 -33.892639,-60.573537 -33.892515,-60.573506 -33.892524,-60.573883 -33.893448,-60.573915 -33.893438,-60.573955 -33.893535,-60.578080 -33.892129,-60.578056 -33.892085,-60.579248 -33.891684,-60.580470 -33.891288,-60.580077 -33.890446,-60.574111 -33.892462))"
"066230205",570,88,17,15,26,30,482,95,175,114,98,313,39,9,6,12,12,274,56,96,60,62,257,49,8,9,14,18,208,39,79,54,36,18,462,306,156,186,51,69,15,26,27,29,8,17,29,37,78,"06","Buenos Aires","06623","Pergamino","066230205",570,232,-33.89265,-60.568101,0.11104854725678,"POLYGON((-60.568537 -33.890221,-60.567635 -33.890537,-60.566639 -33.890914,-60.566589 -33.890930,-60.567374 -33.892538,-60.566113 -33.892958,-60.566975 -33.894822,-60.570180 -33.893764,-60.569717 -33.892674,-60.569720 -33.892617,-60.568624 -33.890248,-60.568559 -33.890270,-60.568537 -33.890221))"
"066232909",907,301,68,37,106,90,606,192,258,108,48,437,132,28,13,47,44,305,79,144,52,30,470,169,40,24,59,46,301,113,114,56,18,88,497,138,359,116,20,2,33,103,74,90,19,119,75,160,211,"06","Buenos Aires","06623","Pergamino","066232909",907,274,-33.894946,-60.592275,0.35397512329423,"POLYGON((-60.589070 -33.892932,-60.588121 -33.893275,-60.588510 -33.894026,-60.588913 -33.894818,-60.589282 -33.895587,-60.589689 -33.896393,-60.590058 -33.897157,-60.590218 -33.897506,-60.590643 -33.898378,-60.591586 -33.898068,-60.591609 -33.898116,-60.593532 -33.897481,-60.593650 -33.897730,-60.596183 -33.896893,-60.596142 -33.896808,-60.596157 -33.896803,-60.595821 -33.896128,-60.595296 -33.895038,-60.595827 -33.894861,-60.594881 -33.892862,-60.594271 -33.892999,-60.593528 -33.891455,-60.592655 -33.891741,-60.591961 -33.891974,-60.590877 -33.892329,-60.589070 -33.892932))"
"066230303",552,105,23,9,39,34,447,42,168,103,134,303,41,10,4,11,16,262,20,87,62,93,249,64,13,5,28,18,185,22,81,41,41,17,428,291,137,158,59,74,9,39,32,34,8,12,34,38,60,"06","Buenos Aires","06623","Pergamino","066230303",552,240,-33.89362,-60.580258,0.10940192878259,"POLYGON((-60.580231 -33.896016,-60.580253 -33.896055,-60.581235 -33.895638,-60.582358 -33.895192,-60.581950 -33.894328,-60.581626 -33.893633,-60.581227 -33.892834,-60.580854 -33.892059,-60.580470 -33.891288,-60.579248 -33.891684,-60.578056 -33.892085,-60.578482 -33.892874,-60.578850 -33.893546,-60.578910 -33.893627,-60.579415 -33.894588,-60.579786 -33.895219,-60.580231 -33.896016))"
"066230111",713,188,29,16,70,73,525,118,264,91,52,396,102,19,9,38,36,294,60,145,52,37,317,86,10,7,32,37,231,58,119,39,15,29,493,246,247,179,44,23,16,69,69,73,10,44,69,99,151,"06","Buenos Aires","06623","Pergamino","066230111",713,250,-33.892014,-60.557394,0.092957196832279,"POLYGON((-60.556649 -33.891491,-60.556523 -33.891534,-60.556132 -33.890705,-60.555021 -33.891070,-60.555017 -33.891043,-60.555008 -33.891045,-60.555025 -33.891088,-60.555104 -33.891475,-60.555193 -33.891829,-60.555249 -33.892014,-60.555345 -33.892236,-60.555497 -33.892532,-60.555512 -33.892589,-60.555506 -33.892633,-60.555474 -33.892671,-60.555419 -33.892700,-60.555694 -33.892613,-60.556089 -33.893445,-60.556196 -33.893612,-60.556302 -33.893749,-60.556381 -33.893720,-60.556358 -33.893681,-60.559468 -33.892606,-60.558987 -33.891651,-60.560102 -33.891280,-60.559710 -33.890463,-60.556649 -33.891491))"
"066232202",688,185,38,19,74,54,503,101,225,87,90,384,94,23,2,36,33,290,58,127,48,57,304,91,15,17,38,21,213,43,98,39,33,43,450,206,244,142,46,18,19,74,53,54,12,28,55,65,103,"06","Buenos Aires","06623","Pergamino","066232202",688,245,-33.894992,-60.542106,0.42147566828157,"MULTIPOLYGON(((-60.538815 -33.899008,-60.538811 -33.899022,-60.538882 -33.899003,-60.538815 -33.899008)),((-60.539305 -33.895727,-60.539212 -33.897194,-60.539207 -33.897217,-60.539084 -33.898986,-60.539092 -33.899045,-60.539393 -33.899052,-60.540434 -33.898818,-60.545988 -33.896930,-60.547558 -33.896401,-60.547491 -33.896340,-60.547462 -33.896350,-60.546565 -33.895561,-60.545725 -33.894795,-60.544941 -33.894091,-60.543352 -33.892615,-60.542579 -33.891892,-60.541779 -33.891155,-60.541044 -33.890462,-60.540304 -33.889784,-60.539588 -33.890056,-60.539507 -33.891986,-60.539410 -33.893823,-60.539422 -33.893947,-60.539305 -33.895727)))"
"066230206",733,157,31,17,67,42,576,102,212,135,127,401,67,13,10,26,18,334,52,121,80,81,332,90,18,7,41,24,242,50,91,55,46,43,528,325,203,211,45,69,16,65,39,42,14,34,44,60,107,"06","Buenos Aires","06623","Pergamino","066230206",733,295,-33.893361,-60.564824,0.15728749716705,"POLYGON((-60.563738 -33.895847,-60.563757 -33.895885,-60.566969 -33.894825,-60.566939 -33.894758,-60.566945 -33.894757,-60.566113 -33.892958,-60.567374 -33.892538,-60.566589 -33.890930,-60.566268 -33.891033,-60.565448 -33.891310,-60.564187 -33.891727,-60.564128 -33.891757,-60.563109 -33.892094,-60.562101 -33.892433,-60.563738 -33.895847))"
"066232910",1017,456,112,42,171,131,561,215,255,67,24,529,237,55,19,99,64,292,108,137,34,13,488,219,57,23,72,67,269,107,118,33,11,101,434,84,350,79,4,1,35,166,90,124,19,161,82,223,265,"06","Buenos Aires","06623","Pergamino","066232910",1017,250,-33.897783,-60.599707,0.79470350143275,"POLYGON((-60.594555 -33.897431,-60.593650 -33.897730,-60.593532 -33.897481,-60.591609 -33.898116,-60.591586 -33.898068,-60.590643 -33.898378,-60.590822 -33.898765,-60.591099 -33.899322,-60.591131 -33.899378,-60.591457 -33.900057,-60.591473 -33.900108,-60.591880 -33.900964,-60.592075 -33.901354,-60.592225 -33.901343,-60.592535 -33.901335,-60.592660 -33.901328,-60.592824 -33.901286,-60.592977 -33.901220,-60.593051 -33.901174,-60.593140 -33.901146,-60.593341 -33.901101,-60.593482 -33.901109,-60.593591 -33.901146,-60.593743 -33.901154,-60.593896 -33.901144,-60.593983 -33.901143,-60.594080 -33.901153,-60.594343 -33.901208,-60.594439 -33.901231,-60.594534 -33.901241,-60.594795 -33.901332,-60.594963 -33.901378,-60.595117 -33.901404,-60.595215 -33.901437,-60.595291 -33.901445,-60.595466 -33.901473,-60.595554 -33.901464,-60.595661 -33.901446,-60.595748 -33.901442,-60.596053 -33.901435,-60.596175 -33.901409,-60.596261 -33.901377,-60.596386 -33.901338,-60.596451 -33.901305,-60.596473 -33.901297,-60.596570 -33.901274,-60.596652 -33.901269,-60.596750 -33.901270,-60.596854 -33.901266,-60.597072 -33.901209,-60.597218 -33.901143,-60.597349 -33.901090,-60.597447 -33.901054,-60.597519 -33.901035,-60.597605 -33.901003,-60.597704 -33.900985,-60.597823 -33.900959,-60.598025 -33.900910,-60.598165 -33.900890,-60.598209 -33.900878,-60.598252 -33.900881,-60.598595 -33.900821,-60.598686 -33.900785,-60.598815 -33.900755,-60.598934 -33.900707,-60.599063 -33.900668,-60.599139 -33.900654,-60.599250 -33.900605,-60.599357 -33.900519,-60.599406 -33.900467,-60.599470 -33.900425,-60.599583 -33.900344,-60.599700 -33.900268,-60.599787 -33.900218,-60.599893 -33.900146,-60.600031 -33.900044,-60.600133 -33.899958,-60.600362 -33.899807,-60.600278 -33.900182,-60.600670 -33.900106,-60.601051 -33.900065,-60.601415 -33.899999,-60.601997 -33.899820,-60.602190 -33.899780,-60.602358 -33.899765,-60.602561 -33.899772,-60.602774 -33.899767,-60.603005 -33.899722,-60.603215 -33.899654,-60.603451 -33.899559,-60.603746 -33.899451,-60.604097 -33.899367,-60.604304 -33.899325,-60.604456 -33.899308,-60.604742 -33.899295,-60.605156 -33.899263,-60.605322 -33.899232,-60.605456 -33.899190,-60.605791 -33.898986,-60.606012 -33.898901,-60.606183 -33.898876,-60.606426 -33.898887,-60.606691 -33.898933,-60.607049 -33.898967,-60.607350 -33.898990,-60.607524 -33.898985,-60.607714 -33.898946,-60.607909 -33.898868,-60.607841 -33.898728,-60.607935 -33.898732,-60.607336 -33.897685,-60.605093 -33.893049,-60.598436 -33.895293,-60.598282 -33.895343,-60.597761 -33.895490,-60.597300 -33.895639,-60.596777 -33.895825,-60.596278 -33.895967,-60.595821 -33.896128,-60.596157 -33.896803,-60.596142 -33.896808,-60.596183 -33.896893,-60.594555 -33.897431))"
